code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,doc_link,source_link
TTL,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,17,17,17,18,19,19,19,19,19,19,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L18
URL,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,6,6,6,6,6,6,6,6,6,8,8,8,8,8,11,11,11,11,12,12,12,12,12,12,16,16,16,16,16,17,17,17,17,17,17,17,19,19,19,20,20,20,20,20,20,22,24,26,28,28,28,28,30,30,30,32,32,32,32,32,32,32,34,34,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,37,37,35,35,35,35,35,35,35,35,35,35,35,35,35,37,37,37,39,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L22
UUID,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,17,17,17,18,19,19,19,19,19,19,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L43
X-AspNet-Version,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L54
X-Powered-By,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L54
XML,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,6,10,15,15,15,15,15,15,17,17,17,21,21,21,21,21,25,25,25,25,28,28,28,28,28,28,38,38,38,38,38,42,42,46,46,46,46,46,50,50,50,54,54,54,54,54,54,58,62,66,70,70,70,70,74,74,74,77,81,81,81,81,81,81,84,84,88,88,88,88,88,91,91,91,91,91,91,91,91,91,91,91,95,95,91,91,95,95,95,95,95,95,95,95,95,94,92,96,96,96,100,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L44
XSS,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L36
XXE,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,9,9,9,10,10,10,10,10,10,11,12,13,14,14,14,14,15,15,15,16,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,22,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L44
application/json,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,7,11,16,16,16,16,16,16,16,16,16,20,20,20,20,20,24,24,24,24,27,27,27,27,27,27,35,35,35,35,35,38,37,41,41,41,41,41,45,45,45,48,48,48,48,48,48,52,56,60,64,64,64,64,68,68,68,72,76,76,76,76,76,76,80,80,84,84,84,84,84,87,87,87,87,87,87,87,87,87,87,87,91,91,87,87,87,87,87,87,87,87,87,87,87,87,87,91,91,91,95,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L34
application/x-www-form-urlencoded,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L35
application/xml,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,8,8,8,8,8,9,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L34
content-type,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,8,12,12,12,12,12,12,12,12,12,17,17,17,17,17,21,21,21,21,25,25,25,25,25,25,25,25,25,25,25,29,29,33,33,33,33,33,37,37,37,38,38,38,38,38,38,42,46,50,54,54,54,54,58,58,58,62,66,66,66,66,66,66,70,70,74,74,74,74,74,78,78,78,78,78,78,78,78,78,78,78,82,82,78,78,78,78,78,78,78,78,78,78,78,78,78,82,82,82,86,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L34
credentials,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,10,12,12,12,12,14,14,14,16,18,18,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,23,24,24,24,24,24,24,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L37
multipart/form-data,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L35
redirect_uri,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,26,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L22
response_type=token,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8,9,9,9,9,9,10,10,10,11,11,11,11,11,11,12,13,14,15,15,15,15,16,16,16,17,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,23,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L23
state,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,10,10,10,11,11,11,11,11,11,12,13,14,15,15,15,15,16,16,16,17,18,18,18,18,18,18,19,19,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,22,22,23,23,23,24,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L24
team@shieldfy.io,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L75
