code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,doc_link,source_link
40MSPS,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L49
512MB,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L39
5MSPS,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L187
ADC,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,16,30,30,30,30,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L51
ARMv7,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L39
BeagleBone,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,0,2,2,2,2,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/BeagleLogic/beaglelogic-prudaq-setup.sh#L11
BeagleLogic,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,2,5,6,6,6,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/setup.sh#L30
CPU,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,9,16,16,16,16,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L32
CircuitDescription,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/QuickStart.md#L11
DC,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L44
DMA,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L188
GNU,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/QuickStart.md#L37
GPIO,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,12,62,62,62,62,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L174
InputOutput,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1,1,1,1,1,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L239
PC,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/QuickStart.md#L31
PRU,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,23,35,35,35,35,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L32
PRUDAQ,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,3,19,19,19,19,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L18
QuickStart,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,4,4,4,4,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/BeagleLogic/beaglelogic-prudaq-setup.sh#L11
RAM,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,8,10,10,10,10,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/setup.sh#L27
SMA,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,4,4,4,4,4,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L1587
USB,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/QuickStart.md#L29
200MHz,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,3,5,5,5,5,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L46
20MHz,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1,1,1,1,1,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.brd#L163
ADC,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,16,30,30,30,30,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L51
ADC_DISABLE,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,2,2,2,2,2,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L5318
BBBP8Header,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/InputOutput.md#L9
BBBP9Header,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,1,1,1,1,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/self_test/selftest_setup.sh#L13
BeagleBone,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,0,2,2,2,2,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/BeagleLogic/beaglelogic-prudaq-setup.sh#L11
BeagleLogic,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,2,5,6,6,6,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/setup.sh#L30
DATA,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/InputOutput.md#L19
GPIO,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,12,62,62,62,62,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L174
PRU,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,23,35,35,35,35,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L32
PRUDAQ,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,3,19,19,19,19,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L18
PWM,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,3,3,3,3,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/BeagleLogic/beaglelogic-prudaq-setup.sh#L13
conceptual_schematic,wiki,InputOutput.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/InputOutput/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/InputOutput.md#L3
100MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L43
100pF,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1,1,1,1,1,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/pru0-round-robin.p#L74
10MHz,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0,1,1,1,1,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/self_test/README.md#L18
15MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L49
18MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L58
1GHz,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L39
1MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,1,1,1,1,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/README.md#L14
200MHz,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,3,5,5,5,5,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L46
200pF,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,1,1,1,1,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/pru0-round-robin.p#L77
20MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L53
20MHz,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1,1,1,1,1,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.brd#L163
2MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,2,2,2,2,2,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/setup.sh#L22
2TB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L57
2VDC,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L15
30MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L41
3MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,1,1,1,1,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/README.md#L18
40MSPS,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L49
4MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,1,1,1,1,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/README.md#L20
50MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L53
512MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L39
5MHz,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L41
5V,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,6,6,6,6,6,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L3021
64BB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L58
80MB,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L53
ADC,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,16,30,30,30,30,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L51
AM,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,1,1,1,1,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/bill_of_materials.txt#L1
ARMv7,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L39
BeagleBone,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,0,2,2,2,2,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/BeagleLogic/beaglelogic-prudaq-setup.sh#L11
BeagleLogic,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,2,5,6,6,6,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/setup.sh#L30
CLOCK,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,19,19,19,19,19,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L244
CPU,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,9,16,16,16,16,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L32
DDR,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,13,16,16,16,16,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L145
GPIO,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,12,62,62,62,62,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L174
HDMI,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,3,3,3,3,3,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq-00A0.dts#L54
InputOutput,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1,1,1,1,1,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L239
MAX4734,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,2,2,2,2,2,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/pru0-round-robin.p#L69
MUF,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L58
MUX,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L21
PC,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,0,0,0,0,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/QuickStart.md#L31
PRU,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,23,35,35,35,35,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L32
PRUDAQ,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,3,19,19,19,19,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L18
RAM,wiki,Performance.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,8,10,10,10,10,https://github.com/google/prudaq/wiki/Performance/de3a45ab2b5cbcd5695620c14d63bec23d4600f1,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/setup.sh#L27
